item_link,item_name,item_price
/Resistance-Exercise-Handles-Training-Workout/dp/B086HKH5HZ?dchild=1,"Resistance Bands Set, Exercise Bands with Door Anchor, Handles and Legs Ankle Straps for Resistance Training, Workout at Home, Yoga - Stackable up to 100 lb（Pack of 11）",CDN$ 35.99
/Barbell-Neoprene-Coated-Dumbbells-Small/dp/B015WE0TE0?dchild=1,CAP Barbell Neoprene Coated Dumbbell Weights,
/Neoprene-Shapewear-Slimming-Trainer-Workout/dp/B07LBSHC8S?dchild=1,Women Neoprene Tank Top Sauna Sweat Vest Shapewear for Gym Workout Weight Loss Slimming,CDN$ 27.99
/Eaz-Lift-Weight-Distributing-Distribution-Control/dp/B00GBQ3YXM?dchild=1,"Eaz-Lift Elite Weight Distributing Hitch Kit, Includes Distribution Hitch, Sway Control and 2-5/16"" Hitch Ball - 1,200 lbs Tongue Weight Capacity - 48069",CDN$ 316.96
/ALLMAX-Nutrition-QUICKMASS-Catalyst-Vanilla/dp/B01M2VOKMC?dchild=1,"ALLMAX Nutrition - QUICKMASS - Weight Gainer & Rapid Gain Catalyst, Vanilla, 6 Pound",CDN$ 34.99
/Perfotek-Waist-Trimmer-Belt-Abdominal/dp/B0722XQVT5?dchild=1,"Perfotek Waist Trimmer Belt, Slimmer Kit, Weight Loss Wrap, Stomach Fat Burner, Low Back and Lumbar Support with Sauna Suit Effect, Best Abdominal Trainer",CDN$ 17.99
/Cap-Barbell-Fitness-Urethane-Dumbbell/dp/B0066AWONO?dchild=1,"Cap Barbell Fitness Urethane Covered Dumbbell Black,5-Pound",
/Marcy-Pound-Dumbbell-Adjustable-Weights/dp/B002I00P8W?dchild=1,Marcy 40 Pound Vinyl Dumbbell Set with Adjustable Weights - Weight Set for Weightlifting and Body Building VB-40,
/CAP-Barbell-Plate-Rack-Black/dp/B00ZEYSYXC?dchild=1,Cap Barbell* Plate and Dumbbell Racks,CDN$ 43.23
/arteesol-Neoprene-Dumbbell-Exercise-Non-Slip/dp/B08CBD13QH?dchild=1,"arteesol Neoprene Dumbbell Weight Pair, 1/2/3/5/8/10/12/15/20 LB, Fitness Gym Exercise for Men and Women with Non-Slip Grip, Set of 2",CDN$ 109.99
/Barbell-2-Inch-Olympic-Plate-pounds/dp/B00306V4TM?dchild=1,CAP Barbell 2-Inch Olympic Grip Plate,
/Dumbbells-Dumbbell-Available-1LB-10LB-Exercise/dp/B086C5LV55?dchild=1,"Dumbbells Weight Set, Cast Iron Hex Dumbbell for Child Women and Men, Available 1LB-10LB, Exercise Weights for Core and Strength Training",
/Barbell-2-Inch-Olympic-Grip-Plate/dp/B01B262O3Q?dchild=1,CAP Barbell 2-Inch Olympic Grip Plate,CDN$ 54.29
/Zumba-Fitness-Toning-Sticks-1-Pound/dp/B004C6Q7AK?dchild=1,Zumba Toning Sticks,CDN$ 19.88
/ABCCANOPY-poids-qualit%C3%A9-sup%C3%A9rieure-Medium/dp/B014ZMCAB0?dchild=1,"ABCCANOPY Weights Bag, Leg Weights for Pop up Canopy Tent Weighted Feet Bag Sand Bag 4pcs-Pack",CDN$ 19.95
/Sticker-Abdominal-Magnetic-Slimming-Adhesive/dp/B089WF3Z29?dchild=1,"Slim Patch,Weight Loss Sticker Burning Abdominal Fat Navel Magnetic Slim Diets Slimming Sticker Navel Patch Pads Detox Adhesive Sheet 50pcs",CDN$ 18.99
/BalanceFrom-Puzzle-Exercise-Interlocking-Tiles/dp/B074DT9SSC?dchild=1,"BalanceFrom Puzzle Exercise Mat with EVA Foam Interlocking Tiles for Exercise, MMA, Gymnastics and Home Gym Protective Flooring",CDN$ 49.06
/Neoprene-Dumbbell-Hand-Weight-2-Set/dp/B08C8SX2CW?dchild=1,"Neoprene Dumbbell Hand Weight - Sold as 2-Set/Pair (Green, 2Lb)",CDN$ 29.99
/Weights-Storage-Dumbbells-Kettlebells-DBR-0117/dp/B00XHD9BHA?dchild=1,"Marcy Combo Weights Storage Rack for Dumbbells, Kettlebells, and Weight Plates DBR-0117",CDN$ 149.49
/Synergee-Workout-Bar-Weight-Condition/dp/B07ZJSPT5K?dchild=1,"Synergee Workout Bar Weight Bar Combo Set - Multiple Weights Padded Weighted Bars – Body Toning Exercise Bar, Strength & Condition",CDN$ 64.95
