item_link,item_name,item_price
https://www.ebay.ca/itm/CAP-Barbell-cast-iron-40-lb-Adjustable-Dumbbell-weight-Set-with-Case-SHIP-FREE/124275447437?epid=10038847121&hash=item1cef64d68d:g:efwAAOSwcR1fDIp-,"""CAP Barbell cast iron 40 lb Adjustable Dumbbell weight Set with Case SHIP FREE""",
https://www.ebay.ca/itm/BRAND-NEW-Bowflex-SelectTech-Dumbbell-Weight-Stand-with-Media-Rack/283988568949?hash=item421f09ab75:g:gKAAAOSwsR5fQ00e,"""BRAND NEW Bowflex SelectTech Dumbbell Weight Stand with Media Rack""",
https://www.ebay.ca/itm/CAP-Barbell-40lb-pounds-ADJUSTABLE-DUMBBELL-WEIGHTS-with-Case-EXPEDITED-SHIPPING/114266836078?epid=2164349679&hash=item1a9ad58c6e:g:tbIAAOSwAHde7SrN,"""CAP Barbell 40lb pounds ADJUSTABLE DUMBBELL WEIGHTS with Case EXPEDITED SHIPPING""",
https://www.ebay.ca/itm/PowerBlock-Sport-Block-24-Lbs-X-2-Dumbbells-Weight-Set-Adjustable-Home-Workout/114287179472?hash=item1a9c0bf6d0:g:DzoAAOSwDVxeyHmZ,"""PowerBlock Sport Block 24 Lbs X 2  Dumbbells Weight Set Adjustable Home Workout""",
https://www.ebay.ca/itm/CAP-30lb-PAIR-2-BLACK-RUBBER-COATED-HEX-DUMBBELL-WEIGHT-SHIPS-FAST/233693364957?epid=15040137414&_trkparms=ispr%3D1&hash=item366935c2dd:g:CawAAOSwQrNfLtaW&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkai8xCwosGKpC0NWj85e%2FB37rcAC0q3TZhoNrNVINFh8qnUQcPTSN18nbvv3pTYgBw1vjf8e91y7WL3MRB%2FYhInmgZD3HNzZIksirCBg9%2Fnc8Moovs7MIEohc7ul7uWjqdlaZKCNacyKD7OabQBZtWSus2zlur4G%2FJcVugGe1AGoLFY%2FPDFvX%2Bzzu6D5tk4lKMtmB1Gw8QGpoJ4H6Im2UYTYs535Ua%2BBwQTtF6dcgtUBhtTwYVppABbi5IVnUGTmzKPfhM9r%2Be5DxQWm%2BNhRx3hIHlZUl5JZslDiL2JWYpHVK0LVWFt8gAtMEPDToH0EUG3C3IAkmUNrZF9GAP%2B1r9HPvbsnNU03EK51BRUh31ALLlUcG2fIFEFgA%2FvAEXv5UG1sHTpUycWy7I4h3%2BmLYSpvqz4zVfAInUVchZyCuQM%2BEW6UEMnW5RLuzRu0OtMaMYCo7SnI6Ma%2BqY4cEWGdYiWESftJkfn2BsQQXPbXl3cUYyCWEM%2F4%2FdHG5z4ERYMI4blP2QLYPL%2BhSqq93sVfOL%2FQxCxhYChcWjH42EMImT8yoD%2BD20Sl2J%2BGs4FZMU7Hvl4kmYzY4nfU2lCunGu2JK3mUxEZ8pVsWIzM56trsvL3sHz4OtdMaktCe2dGlpWynpfQ0vGxo%2BhASEv2y%2FuXSkYbK4oSkJC72GoDU3QqiShJpNohnQOgF8URyRrKb64Kkx5TFUVpicoQV6z4v57RBX%2FqWApgYVgG1zjdKs2jeXGdnMokUD9tcmolQz%2B3U0fz9&checksum=233693364957350874a4244b478cb34b3b3eddf76dbb,"""CAP 30lb PAIR (2) BLACK RUBBER COATED HEX DUMBBELL WEIGHT SHIPS FAST""",
https://www.ebay.ca/itm/2-Pack-50lb-Full-Metal-Iron-Adjustable-Weights-Dumbbells-Total-100lb-Dumbbells/223161292623?_trkparms=ispr%3D1&hash=item33f573174f:g:ebwAAOSwLRxfSK0B&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkgCVySCgrNFPU8Iu85TabMAfQJ%2B28vDWaW6YECsPuXQAOaFddkAPojQftZie7vDjdLZEk4tpwGGmOVYcRYdVJTvhOMjYu8XzR2QE%2FoHoRcYiuucowySs3kzim4ssUIfPm1mF3K5TmuV2ReiU5Sc5aKmxrKbK%2BnNVsnJKAcAxIGp6Es7%2FEEwSjPV%2BYVcCXoMmBK4ZRgy2zhlhVyAbMZz6e8t4zLW7N11I2jQQ7Fnwcw9U9YIDolZr9GGAsqPXF3sHk8lsAxjp2GMYlxRExAt1enrqWKc4niusEsd%2FnY%2FLREWSmdHGiLcQJUH%2FcLZbWTYV9GbTU%2FDy0rT1zV9yXYmwYYNz1wQ3pCxZhteMSNeUxamOmBh4zUENFuBbguMEUhjVEgPYlhVqt27yFx9J2Zd%2BJ4e4u53pKYhlt%2FTaOG9iSYtpk8yGbbgXPwcyp5SR9jGDckl73GR6M7lpE9AGV6SVsWEOnmTzfAsk5bUWI%2FVj1YnS0sQmvdhlcQkVSPI3ZR0X8v759cnKd5W%2FIFY1sk7OYK%2FVimnee2EipQoG3mcyxLVQUw3m2fLhte4sCPGBCjZHItfCP6Hd9sdZIdbHdObjD0rzl6Btul5shh622fN15UmVPHQEACJ92oNiQHJBOE3CqnTpxagEsaBvl3EKCQ8yyvLzMfZ98FEX9WikE3HZox4XvBBKm3k7S9bimpy9Mhq9wllmq1Zu7CxCscr5bd2IAW9S1Sjck87YKMp7SarEGXMcwBVtFQoOuA0%2FiuTnUMM26&checksum=223161292623350874a4244b478cb34b3b3eddf76dbb,"""2 Pack 50lb Full Metal Iron Adjustable Weights Dumbbells Total 100lb Dumbbells""",C $506.16
https://www.ebay.ca/itm/WOLFE-Fitness-30KG-Cast-Iron-Adjustable-Dumbbell-Set-Gym-Weights-Training-2x15KG/333691414435?_trkparms=ispr%3D1&hash=item4db18ee7a3:g:d4cAAOSwv7ZfPVgA&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkCrLl8erj3ATP5raQxjc%2F%2B05rzURSiOJSfMs5G9ujOq9B%2BKtcccjRKALRNwKi9ut9zHj%2FpjkleL2UzSXKmLGJRpBGULBMgPOVFTC0b8g2sBDqLPfrus7apr4RP9DGgE2MgbJnYncELs1TzukihfVi4KOuv%2Fu4sVBK5hUcxvWUD19Ws304Rxwp0Nym1yxvjFkkVMhEQA9jtAb8%2FT%2B%2Bamu4wxvDD2SkPxWmSbx89%2B2tvgJw%2FR%2FkSB3IPBbo8Ox1On6kpKfJrKtvblnnAUshyJDI0H2VX2Qzr9w5V7S51dCBq2xytiUfAmWKv1eoOQbhEXDYLsBfe0rHeuRYg1Ito1JhzPpZ9HcAn%2BDIDIiXhQ%2F%2FLoueGYjACOyjAo4eHCqlF1tindiYqygsWgV3cZ4QTkfszx%2BSGNjSDUIeT%2FhP4Qm1JFEdPoEPpIsinK99jQ9hkwwyrHWrAZsWRIWRVwNKqcwkfiTPJI0EppBDi7uUWocKyNW72Lag%2BRhAelhRk5zwopoNe7odul%2FybEGfCpYeOK%2FrEW4wZvBxCXoRMQV34%2FHVlaxyK97SE8umVbWAyeEqeN5cvWIQHnofLZUn7Ym7FgKu1HkQVxcohOXOHgSdfcoJw6pp6sdni6LBx27Y7%2FJTohZgk5mczQddhvCv4Z%2BsuAPjqYu%2F8SIy66B9uAAg4CTY2QAtPWZsdBYrFPAq0tQtbZLJ1hAvCbkHCBeos1jjQyi91tPJqa4V7QhhLRbU6KkYUGP8R74yk31eRxnp5Z5DPMks&checksum=333691414435350874a4244b478cb34b3b3eddf76dbb,"""WOLFE Fitness 30KG Cast Iron Adjustable Dumbbell Set Gym Weights Training 2x15KG""",C $182.06
https://www.ebay.ca/itm/50lb-Dumbbell-Adjustable-Weight-Set-Fitness-GYM-Home-Cast-Full-Iron-Dumbbell/323472766112?_trkparms=ispr%3D1&hash=item4b507ab4a0:g:P88AAOSwE8tfSKzT&enc=AQAFAAACYBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickk5v8gVt3hEWLVg%2F253w6XCaTJTRRWVo%2BvUCuaDBr5NnfT2uOPVwJha3lXfv1%2BaorbaszjNdQMMU77mt9tG5izltguj%2FQHY%2Fl1LhgTJMz2EWvVwzVnmpXB8sVsXuqU0AQoVKfgmzquBE0qfc3puoaDOkHaFOuRUaVY2U0IfqwvPxGs8vplocIJLa7d8fIWPcsmQH854PiXbn0SAQopHS9AD1q7ZYYFLBUBX4t1%2FgPawfeIdLsCMwDJBqhem7Hsa44P3Db1QyaqHK4m%2BRmogm%2FaaLjJRpnozDIsPqAg71Rm%2BNddWAWT0I%2BheruBg3ilXjKCt3wGPOox%2FTp1%2FnW7T9kZAsTwjM0IJLAMafYzV1ndHDYNTN21ZIoM2shzSMiMO2PujxCSJRIdLGZY1CDtQ9WSzXMAi0UcoRbtEX5ugMTKeL5vVOscIG3y5CoebCYB8Rw%2Fi8ILOm7trf%2BUHln3qcyhV1u07KDtkMfO5na8ozCbrm3eOPOVquc2E5ebTiHD9K3rNm%2BY1w9Hp7FIAHc8dI9uv4aQz7%2F4y%2B4DHYDtTGdvagbftfACVxFDpgdHhQhYy4LPnLzvPPpRNx016sXY2TfffZdVjZkqzpqMwliJ9biS7v80AsDGjagyDvg16FG7JrgbnU0jdWF2BXTW1Re%2FCLt9FYCgtVja5vfMJOehOuHs0tziyQM%2BFkacPbtvnuAPuK5PyIYaiM98HzBN3JEPZsdgsIdBdxe047Zcu%2BWTHElmUXr54%2BO3SPIO%2BQOFIJmqpPLZ&checksum=323472766112350874a4244b478cb34b3b3eddf76dbb,"""50lb Dumbbell Adjustable Weight Set Fitness GYM Home Cast Full Iron Dumbbell""",C $243.22
https://www.ebay.ca/itm/Dumbbells-Set-Adjustable-Fitness-Free-Weights-Dumbbells-with-Connecting-Rod/383688288706?hash=item59559aa9c2:g:-GMAAOSw8vtfQej8,"""Dumbbells Set, Adjustable Fitness Free Weights Dumbbells with Connecting Rod""",
https://www.ebay.ca/itm/Bowflex-1090-Replacement-Part-Weight-Dial-Two/254344596371?hash=item3b381e8b93:g:VMYAAOSwIe1daAkn,"""Bowflex 1090 Replacement Part-Weight Dial (Two )""",
